median_tot_hhd_inc_weekly, sa4_code16, median_age_persons, median_mortgage_repay_monthly, sa4_name16, median_rent_weekly, average_num_psns_per_bedroom, median_tot_fam_inc_weekly, average_household_size, median_tot_prsnl_inc_weekly
1228,"101",44,1625,"Capital Region",250,0.8,1561,2.4,655
1258,"102",42,1750,"Central Coast",350,0.8,1560,2.5,600
1166,"103",41,1500,"Central West",235,0.8,1473,2.4,594
1013,"104",46,1500,"Coffs Harbour - Grafton",288,0.8,1249,2.4,520
1110,"105",40,1278,"Far West and Orana",190,0.8,1386,2.4,590
1286,"106",39,1733,"Hunter Valley exc Newcastle",290,0.8,1548,2.6,599
1352,"107",39,1950,"Illawarra",330,0.8,1679,2.6,591
936,"108",50,1450,"Mid North Coast",270,0.8,1174,2.3,491
1116,"109",43,1300,"Murray",200,0.8,1422,2.3,600
1107,"110",41,1309,"New England and North West",220,0.8,1378,2.4,579
1331,"111",40,1733,"Newcastle and Lake Macquarie",330,0.8,1670,2.5,628
1069,"112",46,1600,"Richmond - Tweed",300,0.8,1333,2.4,550
1232,"113",39,1365,"Riverina",220,0.8,1517,2.5,643
1091,"114",48,1625,"Southern Highlands and Shoalhaven",295,0.7,1340,2.4,552
2270,"115",39,2500,"Sydney - Baulkham Hills and Hawkesbury",550,0.8,2397,3.1,801
1712,"116",33,2150,"Sydney - Blacktown",380,0.9,1818,3.2,672
1894,"117",33,2500,"Sydney - City and Inner South",550,1.1,2369,2.2,904
2163,"118",35,2900,"Sydney - Eastern Suburbs",580,1.0,2756,2.4,1020
1431,"119",35,2167,"Sydney - Inner South West",415,1.1,1576,2.9,565
1964,"120",36,2500,"Sydney - Inner West",500,1.0,2282,2.6,828
2333,"121",38,2600,"Sydney - North Sydney and Hornsby",555,1.0,2814,2.6,1029
2178,"122",40,2800,"Sydney - Northern Beaches",565,0.9,2528,2.7,916
1637,"123",35,2000,"Sydney - Outer South West",360,0.9,1794,3.0,686
1589,"124",37,1950,"Sydney - Outer West and Blue Mountains",365,0.8,1852,2.7,715
1520,"125",33,2037,"Sydney - Parramatta",410,1.1,1631,3.0,586
1919,"126",37,2383,"Sydney - Ryde",470,1.0,2236,2.7,760
1429,"127",35,2000,"Sydney - South West",365,1.0,1489,3.3,500
1979,"128",40,2427,"Sydney - Sutherland",450,0.9,2312,2.7,836
1098,"201",42,1300,"Ballarat",240,0.8,1409,2.4,559
1160,"202",42,1382,"Bendigo",250,0.8,1443,2.4,593
1287,"203",40,1560,"Geelong",288,0.8,1615,2.5,616
1124,"204",44,1300,"Hume",225,0.8,1417,2.4,599
1048,"205",45,1300,"Latrobe - Gippsland",220,0.7,1338,2.3,540
1699,"206",33,2100,"Melbourne - Inner",401,1.0,2323,2.1,883
1756,"207",39,2167,"Melbourne - Inner East",400,0.9,2183,2.6,707
1793,"208",40,2167,"Melbourne - Inner South",386,0.9,2309,2.5,802
1525,"209",36,1829,"Melbourne - North East",331,0.9,1767,2.8,645
1422,"210",35,1733,"Melbourne - North West",330,0.9,1598,2.9,579
1559,"211",39,1768,"Melbourne - Outer East",350,0.8,1851,2.7,674
1444,"212",35,1733,"Melbourne - South East",336,0.9,1593,2.9,586
1486,"213",34,1733,"Melbourne - West",315,0.9,1644,2.9,625
1303,"214",42,1700,"Mornington Peninsula",310,0.8,1635,2.5,643
1014,"215",44,1083,"North West",185,0.8,1306,2.3,549
1105,"216",43,1300,"Shepparton",210,0.8,1364,2.4,565
1103,"217",44,1300,"Warrnambool and South West",201,0.8,1411,2.4,582
1602,"301",40,2000,"Brisbane - East",395,0.8,1902,2.7,717
1622,"302",37,1950,"Brisbane - North",370,0.8,1977,2.5,772
1678,"303",34,2000,"Brisbane - South",390,0.8,1930,2.7,700
1971,"304",36,2134,"Brisbane - West",400,0.8,2322,2.7,779
1921,"305",33,2200,"Brisbane Inner City",415,0.9,2495,2.3,938
1226,"306",39,1597,"Cairns",280,0.8,1475,2.5,642
1129,"307",41,1300,"Darling Downs - Maranoa",215,0.8,1366,2.5,582
1421,"308",36,1733,"Central Queensland",250,0.8,1740,2.6,664
1404,"309",39,1950,"Gold Coast",390,0.8,1655,2.6,665
1362,"310",34,1603,"Ipswich",310,0.8,1523,2.8,626
1400,"311",34,1733,"Logan - Beaudesert",330,0.8,1531,2.9,629
1469,"312",37,1876,"Mackay - Isaac - Whitsunday",250,0.8,1793,2.5,717
1188,"313",41,1719,"Moreton Bay - North",315,0.8,1407,2.6,572
1740,"314",35,1928,"Moreton Bay - South",360,0.8,1921,2.9,758
1361,"315",33,1500,"Queensland - Outback",140,0.9,1540,2.7,648
1260,"316",44,1777,"Sunshine Coast",370,0.8,1478,2.5,612
1298,"317",37,1560,"Toowoomba",285,0.8,1583,2.5,649
1362,"318",36,1668,"Townsville",280,0.8,1640,2.5,672
935,"319",46,1300,"Wide Bay",250,0.8,1133,2.4,478
1472,"401",40,1734,"Adelaide - Central and Hills",312,0.8,1967,2.4,700
1180,"402",36,1413,"Adelaide - North",268,0.8,1407,2.6,563
1284,"403",41,1517,"Adelaide - South",295,0.8,1622,2.4,635
1194,"404",40,1625,"Adelaide - West",280,0.8,1554,2.4,597
1026,"405",47,1170,"Barossa - Yorke - Mid North",200,0.7,1318,2.3,535
1111,"406",40,1250,"South Australia - Outback",175,0.8,1418,2.3,594
997,"407",46,1127,"South Australia - South East",195,0.7,1266,2.3,544
1319,"501",41,1733,"Bunbury",300,0.7,1606,2.5,637
1169,"502",43,1826,"Mandurah",320,0.7,1437,2.4,553
2039,"503",36,2448,"Perth - Inner",400,0.9,2769,2.3,957
1590,"504",36,2000,"Perth - North East",350,0.8,1851,2.6,717
1712,"505",36,2037,"Perth - North West",380,0.8,2018,2.7,746
1563,"506",35,1950,"Perth - South East",350,0.8,1818,2.7,691
1669,"507",36,2000,"Perth - South West",360,0.8,1997,2.6,732
1192,"509",44,1400,"Western Australia - Wheat Belt",200,0.8,1481,2.4,623
2202,"510",33,2443,"Western Australia - Outback (North)",161,1.0,2416,2.8,1239
1487,"511",37,1722,"Western Australia - Outback (South)",249,0.8,1836,2.5,732
1234,"601",40,1402,"Hobart",260,0.8,1569,2.4,637
1017,"602",43,1260,"Launceston and North East",215,0.8,1319,2.3,537
962,"603",48,1192,"South East",200,0.8,1210,2.3,498
990,"604",44,1165,"West and North West",200,0.8,1274,2.3,523
2183,"701",33,2200,"Darwin",420,1.0,2386,2.7,1052
1561,"702",30,1816,"Northern Territory - Outback",91,1.2,1352,3.2,525
2070,"801",35,2058,"Australian Capital Territory",380,0.8,2445,2.5,1000
1377,"901",42,1400,"Other Territories",140,0.9,1568,2.6,715
