 area_code, diabetes_me_1_no_3_11_7_13
101011001,908.6843785
101011002,515.5071354
101011003,224.2296721
101011004,359.5331424
101011005,472.972377613217
101011006,340.190443586783
101021007,148.5783299
101021008,428.63355342649
101031013,109.7513523
101031014,381.3850106
101031015,109.739403052196
101031016,230.297210247804
101041017,409.144192553705
101041018,448.232318611135
101041019,376.347502302551
101021009,510.02408746666
101021010,231.26275440685
101021011,462.666466456355
101041020,410.165454597449
101041021,154.17185563516
101041022,3.36482859685899
101041023,171.1173573
101021012,412.202703743645
101041024,189.492978875743
101041025,515.6977355
101041026,449.647358285525
101041027,509.564920141873
102011028,280.632135972509
102011029,413.900364927491
102011030,166.0255730831
102011031,637.384127184021
102011032,729.288553192638
102011033,218.886910001159
102011034,333.369905838082
102011035,243.689355743949
102011038,311.142119177897
102011039,495.950917886258
102011040,1112.25873129453
102011041,358.732700213742
102011042,654.127577805474
102011043,451.643085407362
102021044,1029.75539398682
102021045,519.311594277312
102021046,466.331921613256
102011036,302.17179817295
102011037,214.205199898841
102021047,525.493931659837
102021048,995.0566585
102021049,98.1107177830763
102021050,484.729353070568
102021051,156.279385288895
102021052,260.13744395212
102021053,673.723968713176
102021054,467.943727786744
102021055,172.448028140163
102021057,375.7241291
103011058,780.879202502604
103011059,322.693641897395
103011060,237.744615
103011061,197.7348571
103021062,301.300617006247
103021063,470.4293639
103021064,250.827760273626
103021065,428.543631093753
103021066,171.016795983906
103031072,424.39333534942
103031073,189.58345613486
103031074,402.81538555058
102021056,407.408912828029
103021067,458.710945929654
103021068,142.170625870346
103021069,274.227097042468
103031070,694.23251246514
103031071,349.4849769
103031075,0
103041076,284.7081993
103041077,786.8271405
103041078,545.782885084548
103041079,356.475285815452
104011080,856.5912829
104011081,767.8216807
104011082,892.5317011
104021083,265.028096970688
104021084,731.774959630497
104021085,439.638144269503
104021086,151.463382985239
104021087,153.011661737549
104021088,325.107596114761
104021089,778.2084705
104021090,211.157952391763
104021091,553.6907579
105011092,null
105011093,194.10783790129
105011094,175.260818660503
105011095,214.395131538207
105011096,null
105031103,194.7146961
105031104,218.312506721827
105021097,981.387245262881
105021098,142.303005537119
105031099,400.14983571148
105031100,439.684731896552
105031105,327.003640366693
105031106,460.9623383
106011107,309.908194210912
106011108,781.8010442
106011109,278.846304
106011110,345.2008757
106011111,680.9446779
106011112,484.5769171
106011113,159.082417889088
106021114,231.235429352342
106021115,921.9030229
106021116,232.856235
106021117,885.845343747658
105031101,561.4743226
105031102,300.687623103448
106021118,342.3493631
106031119,264.727302104207
106031120,295.2499166
106031121,957.747301995793
106031122,646.5285618
106031123,175.624793
106031124,293.1832575
106031125,428.1951824
106041126,363.2825108
106041127,126.6608347
106041128,251.53158964952
106041129,336.54430645048
107011130,2776.0258087
107011131,1039.2995022
107011132,223.6857371
107011133,1.78237661488502
107011134,941.709465285115
107021135,null
107031136,541.3794576
107031137,399.657364922641
107031138,320.650272477507
107031142,541.666437177359
107041150,945.7242728
107031139,256.779817588422
107031140,314.428833634071
107041149,1538.1876268
107031141,467.7501017
107031143,1652.641449
107041144,960.4368431
107041145,679.3970433
107041147,267.504287916093
107041148,334.578007583907
107041146,868.4263732
108011151,236.953920048719
108011152,874.762068402364
108011153,281.508072951281
108011154,370.310196097636
108021155,748.9957313
108021156,537.729117922652
108021157,313.026306139547
108021158,449.347475860453
108021159,441.113432267274
108021160,297.783130710073
108031161,null
108041162,973.5223891
108041163,1300.0268267
108041164,878.1205961
108041165,234.003462568173
108041166,474.651582631827
108051167,285.33159275224
108051168,483.1321824
108051169,1074.22625283952
108051170,674.79837554776
108051171,283.849608660484
109011172,379.5997001
109021177,137.31410315169
109011173,411.852717262324
109011174,389.475530770911
109011175,402.427211129089
109011176,615.766478037677
109021178,264.453396256759
109021179,167.838533291551
109031180,283.627157402732
109031181,329.321238247455
109031182,316.1336875
109031183,334.622050403422
109031184,251.581109596578
109031185,470.451682849813
110011186,758.5188603
110011187,172.927833831805
110011188,232.6896151
110011189,128.657663268195
110021190,459.273704888556
110021191,563.840704173391
110021192,261.31857532661
110021193,326.8792203
110021194,361.327857011444
111011207,408.2134475
111011208,980.752028908965
114021288,160.789025309325
110031195,328.3987013
110031196,231.282465103239
110031197,288.790537507287
110031198,200.444803089474
111021221,370.234632744175
205021085,282.390129723484
110041199,378.444169330889
110041200,195.983111969111
110041201,381.6486637
110041202,772.6712919
110041203,491.0261633
110041204,275.8567212
110041205,815.7667024
111011206,729.4692719
111011209,861.8374611
114021289,243.71132831656
111011210,393.7010676
111011211,144.146190791035
111011212,549.0354018
111011213,478.6309539
111011214,516.6643807
111021215,371.0221033
111021216,359.624086628682
115011293,949.227464807151
115011294,219.984725459379
115011295,758.991689
126021499,382.960890056901
126021500,656.9776639
111021217,368.7339206
111021218,627.087987771318
111021219,800.897256255825
111021220,389.5422093
111031222,597.300058
111031223,364.485283509662
111031234,410.171596422081
111031224,484.287719950477
112011242,255.1260457
112011243,293.196965087177
112021244,639.1781454
112021245,325.578604314052
112021246,487.1545816
112021247,354.670049085948
112021248,634.2235723
112021249,544.8825422
112031250,471.52291891486
112031251,389.2789216
112031252,410.5962515
111031225,626.4809522
111031226,431.5834563
112031253,523.81846958514
112031254,1010.1482801
112031255,1383.9487243
115031300,727.404883570302
115041301,324.164016893941
115041302,653.290278306059
111031227,506.385540877919
111031228,440.478417779135
111031229,333.227496020865
111031230,1.32850355331487
111031231,439.553296690338
111031232,427.917986646685
114011280,285.697284778321
114011281,182.753884214266
114011282,818.0586995
114011283,246.2806703
111031233,790.0248649
114021284,579.202671490675
114021285,224.84846778344
114021286,343.0617476
111031235,316.325945549523
112011236,904.3660442
112011237,616.379729185439
112011238,208.928968414561
112011239,309.065976012823
112011240,407.3920296
112011241,282.0664075
113011256,790.2477951
113011257,483.7318852
113011258,475.248605190976
113011259,294.153468909024
113021260,148.667439840807
113021261,280.2790962
113021262,203.721330959193
113031263,352.492492611593
113031264,169.357373548915
113031265,275.602256479796
113031266,299.512089759696
113031267,515.265845020303
113031268,113.100027079697
114021287,371.8894413
113031269,698.9920535
113031270,401.6372029
113031271,493.5525128
114011272,447.356197457788
114011273,194.33225769905
114011274,263.94134490095
114011275,2.15931554221208
114011276,211.872484885734
114011277,659.9494585
114011278,796.6529356
114011279,872.591053121679
115011290,771.570517771955
116031316,1166.00385216839
115011291,672.829153028045
115011292,1035.86359234062
115011296,484.978859892849
115021297,792.142076248863
115021298,199.473749451137
115031299,89.5471142296976
116011304,882.946333344055
116011303,760.118340251703
116031319,981.607907602321
116011305,1301.5858988483
116011306,1020.62379455594
116011307,1270.5778306638
126021501,494.475345490191
126021502,1079.24188080981
116011308,1193.3899756362
126021503,689.846713506825
127011504,1633.9341739
127011505,616.150081981233
127011506,422.6372947
116021309,531.65700454722
116021310,777.207952552781
205021086,236.125676957685
116021311,970.2330317
116021312,471.4661998
205031087,280.871375963732
205031088,null
205031089,299.978038935373
205031090,361.037033710097
116031313,1351.54410613161
116031314,329.593914221088
124031458,614.922079272221
124031459,501.078609606234
124051471,1627.8344653
125011472,2621.2613271
125011473,278.437209
127021511,2643.6658647
215031401,260.530073971014
215031402,155.339150972554
116031315,794.268630678912
117011320,0.432103780588632
116031317,1462.3675996
116031318,0.900282397678681
124031461,609.677532993766
127021520,952.049107146877
210051248,6.53185774591503
117011321,319.900832229117
124031462,749.87509420914
124031463,321.384923237485
205031091,341.1016344
205031092,0.514542090798238
205031093,884.871881
205041094,346.6683354
205041095,768.682590597588
205041096,645.678623002412
205041097,760.328478767466
117011322,1356.13488332047
213011340,839.1977658
206051130,656.286996202961
117011323,722.916964379531
127021521,1.74579309659614
205041098,131.598158432534
205051099,0.90357746279742
205051100,167.135255196898
205051101,432.619980937936
205051102,146.960420199266
205051103,463.8190165
205051104,229.064641803102
308021196,304.317217321996
117011324,0.108025945147158
117021327,626.8909301
117011325,0.108025945147158
128011527,948.8660559
117021326,1537.8868264
117031336,525.913497903858
117031337,629.4534443
117021328,380.7506552
117031329,344.861872020512
118011344,382.260138172464
128011528,1019.8501184
128011529,680.702471787619
117031330,414.644209208499
128011530,711.25043977239
128011531,610.676508139991
128021532,904.077577815884
128021533,210.551563968876
128021534,345.665275913803
128021535,684.020900786197
128021536,762.704320193685
128021537,0.586767015240712
128021538,716.088861306314
308021197,1.7407973154731
117031331,517.972106689846
201011001,203.04664883069
405021119,510.8945445
405031120,237.796354970938
405031121,393.2656042
405031122,956.1761817
117031332,642.015307091501
206011105,909.184664975138
117031333,618.32455117563
405031123,168.982534829062
604021090,98.0351116
117031334,585.316293110154
206011106,338.622659124862
117031335,974.930905765276
208021180,309.8082843
509011232,140.166002729218
117031338,1241.64006713472
119031368,1187.1878518896
118011339,527.877702797754
119031369,971.233837787021
509021238,175.483203751761
118011340,570.279058802246
509021239,357.823200463165
509021240,214.288438559779
118011341,545.351464682815
118011342,0
118011343,841.323959742697
118011345,500.610608557303
118011346,429.533794327536
213011339,392.0891556
118011347,247.154867017185
118021348,811.3815539
208021181,234.8369334
118021349,1256.0019395
118021350,938.513421307419
206031115,385.5628672
118021351,1315.67925269258
213021341,450.2343222
213021342,869.8655101
509021241,200.787042596913
118021352,812.941541
206041118,111.934412381206
509021242,146.66289581902
601041022,333.068250225038
119011353,2282.1210724
208031187,157.00364279016
601021005,255.065968032306
119011354,1162.28536192415
201011008,467.5898226
119011355,0.204558998742691
119031370,751.830655310397
119011356,589.887329175853
119031371,628.750014186691
119031372,759.551872512979
201021009,171.648165321133
201021010,269.2426597
201021011,301.4102304
201021012,167.470681578867
201031013,140.126473380649
201031014,162.653617602606
201031015,134.0851822
119011357,1657.74612581077
202011021,244.988240988733
119011358,679.9376261
202011022,854.4780651
119011359,976.6541064
202011023,94.2228933
202011024,156.5437491
601021006,153.039338084187
601021007,463.398498567297
119011360,646.4096574
601021008,323.008232109805
119011361,1292.26738139049
206041119,119.487743060213
601031013,135.4159409
119021362,1430.04165737883
119021363,2059.88060842117
119021364,1814.3874917
206041120,2.47413393338097
601031014,293.054983721107
601031015,421.685149861713
601031016,261.232374155263
119021365,1960.40298596079
119041378,545.781938051176
601031017,663.986630544737
119021366,1493.07004103921
212031305,975.1649704
119021367,838.0994387
125031479,1209.59655
119031373,847.734008
119031374,1189.65650181331
124051470,856.034866679155
120031394,873.193649344036
120031396,567.466876
119041375,874.534600075599
121011402,927.8505507
121021403,592.808854947971
119041376,1426.97519724882
119041377,926.9876821
121021404,380.821611752029
121021405,1035.1405278
121021406,651.6840138
121031407,708.095424114289
121031408,749.9655773
121031409,594.176376785711
121031410,728.240341880018
119041379,853.54997870057
119041380,755.061230063017
121031411,704.140133183388
119041381,1092.2890063244
119041382,851.651539036412
120011383,995.586471356919
120011384,916.018867043081
120011385,1033.25443737965
120011386,1130.43646202035
120021387,470.77483578803
121031412,673.673094636594
120021388,748.7581485
120021389,415.43836851197
121041413,582.077695078022
121041414,516.786230835049
121041415,974.6309218
121041416,538.656381721978
121041417,295.861671864951
122011418,614.477339412242
122011419,658.812478487758
120031390,1196.0689254
122021420,453.223468965426
122021421,417.068582348682
122021422,479.310946434574
122021423,892.650166551318
125031480,1444.5683815
125031481,1287.87773375995
125031482,1380.7145517
125031483,1293.87771224005
120031391,1294.7007494
122031429,707.310788939842
122031430,584.74947573285
122031431,853.234072750794
122031432,137.691115860487
123011433,383.060929699451
601031018,251.27625711718
601031019,259.422694750629
601031020,279.8177151
120031392,655.824036536247
123021441,786.785491480529
601041023,361.926348896688
601041024,219.474381774962
601041025,0
120031393,1145.78661506375
123031447,515.132094344499
123031448,279.613983732915
124011449,223.130683144155
124011450,624.4010149
124011451,0.969860785006183
124011452,527.704269855845
124011453,383.822405666197
120031395,726.508534855964
124011454,754.136036112665
206041125,146.113656039787
120031397,1038.8064013
601041026,130.437632003312
601051027,245.049627355232
601051028,267.730873089751
121011398,846.625755471857
206061135,280.404778787972
601051029,144.906152237647
121011399,630.343136428143
121011400,790.256632896364
121011401,303.136789403637
122031424,486.523074129663
122031425,271.087017649206
122031426,848.934641770337
122031427,451.855210527308
122031428,938.278848939514
123011434,507.433411200549
212031306,323.0650622
601051030,263.4310789
123011435,546.1770527
123021436,698.2779373
123021437,765.688330242818
601051031,367.185541793194
123021438,897.3383065
123021439,0
601051032,194.338139669159
604021091,311.373292717314
123021440,816.467151350571
123021442,842.7205667
602011041,460.933695477003
604021092,129.897802024209
604031093,null
123021443,865.3459046689
123021444,979.659244057182
123031445,181.251422655501
123031446,230.579517467085
124011455,205.575848536132
124021456,null
124031457,535.804535827779
124031460,517.3687621
602011046,242.830370619819
604031094,157.685876265689
124031464,517.60397849086
124031465,249.407321162515
124041466,440.773574200208
124041467,507.015864199792
124041468,217.2950111
124051469,287.689507820845
604031095,160.4542619
604031096,145.928767334311
604031097,209.8269686
604031098,0
211051282,253.779227761576
125031484,1169.79192287336
127021509,1355.58963091197
127021510,1346.88170706536
125011474,2024.62768251503
125011475,0.607671884967495
125041494,359.592141612086
126011495,929.258383759111
125021476,1113.9457304
125021477,791.08272041143
125021478,648.85496378857
126011496,765.181213340889
125031485,1585.86144749157
125031486,0.369019534029451
125031487,0.553529301044177
126021497,933.403182593175
126021498,524.257290243099
125041488,1218.20083337324
125041489,933.5481796
125041490,264.508014643272
125041491,599.713384544641
125041492,1071.25226102676
125041493,874.0947614
127011507,1794.67124931877
127011508,844.3890914
206061136,647.750863591751
201011002,327.5627527
208031183,244.348795052695
127021512,1411.36970328803
127021513,2139.55861268679
127021514,697.756266264492
127021515,1840.19515391321
203031051,352.8926586
127021516,1558.6636750882
127021517,573.592456570143
127021518,314.533722903404
127021519,1523.11740446492
305021113,95.1556332905941
127031522,841.269624192555
127031523,721.496446064295
127031524,901.155976435705
127031525,2240.256276
127031526,1471.64939430744
202011025,232.91079260829
202021026,176.4585954
206011108,1261.7302371
201011003,605.1795608
203011034,122.940720773905
203011035,162.112753570342
203011036,148.290398455753
201011004,947.242430469475
201011005,160.612454036116
201011006,239.003587130525
201011007,91.9731974331945
201031016,358.1225957
201031017,214.835138116745
206071141,245.66797224077
202011018,431.7482066
206071142,358.20881975923
202011019,347.4397494
203021046,275.725515015433
203021047,885.3843423
202011020,364.749605502977
203031052,126.843060645764
203031053,414.003369578974
204011054,246.982342168996
204011055,241.068052853485
204011056,354.268389686286
204011057,267.260047
202021027,347.553235005265
202021028,292.061842094735
202021029,212.2985616
202021030,284.4076719
202021031,174.9675992
202031032,132.629179
202031033,320.7422156
203021037,409.299428078935
203021038,1705.7087547
204011058,144.130420442396
204011059,261.007405
203021039,362.706147121065
204011060,108.5576863
204011061,8.95245163512352
204011062,100.673071313714
204021063,374.2571059
204021064,114.073894191555
204021065,120.6286487
204021066,640.8487739
204021067,308.215640108445
203021040,564.6233829
204031071,179.7772362
204031072,207.315489455991
204031073,485.890190867837
204031074,697.665412232163
204031075,123.9469123
203021041,559.7764717
205011076,421.2863819
205011077,184.210757367893
205011078,218.427944151401
203021042,550.226469284567
203021043,395.3775637
205011079,516.407759380706
205021080,0
205021081,520.082078543103
205021082,307.16562901883
205021083,0
203021044,305.8875467
203021045,599.460149
205021084,371.621856756897
203031048,408.89208
203031049,135.349901721026
203031050,571.790574954236
204031068,158.825539807145
204031069,273.485274644009
204031070,108.832575392855
206011107,590.137909644143
211031265,462.976838379564
206011109,427.881403455857
206021112,803.2149603
206021110,354.69476998159
211031268,239.493819420436
206021111,990.76775541841
208011170,483.717180702217
206041126,218.611328618794
206041121,308.251712366619
206031113,559.3710627
206041127,0
206031114,984.022661757402
206031116,537.711438342598
206041117,329.0668762
206041122,347.3407508
208011171,307.5764884
206051128,421.3437823
206041123,360.4294471
206041124,117.724352
206051129,321.3737066
206051131,0.316522597038771
206051132,424.5684674
206051133,575.204348680441
206051134,400.704439619559
206061137,543.175735608249
206061138,411.949538612029
206071143,425.206546437802
206071144,1046.6871925
206071145,276.417316391519
206071139,166.754336308481
206071140,307.462172862198
207011147,556.756987538169
207011149,576.761918180809
207011146,311.3961098
207011152,311.044383591878
207011153,687.540357936751
207011148,712.396035061831
207011155,458.149788719191
207021160,523.419465057498
207011150,458.0604363
207011151,474.519154308122
207021156,605.218510679112
207021157,1022.37823312089
207021158,1083.939858
207021159,656.035513842502
207031161,676.880129470668
207011154,183.814367963249
207031162,361.455764829332
207031163,530.695077497278
207031167,265.2755581
207031165,418.537796124612
207031164,501.853617902722
207031166,393.220039675388
208011168,390.504452931327
212041313,340.8426301
208011169,667.166890097783
303021056,284.941252509258
208011172,522.6854737
208021174,787.475695607965
214011372,735.6615426
208021175,977.566438392035
208031184,0.334839047691258
208011173,463.925618968673
215011392,304.532135817047
215011393,111.089871269063
215011394,270.902017792845
208021176,471.137100888291
208021179,292.772953
208021182,357.623670911709
215031400,256.237385656432
208021177,592.130711765751
208021178,492.244220934249
215021395,206.447081619595
215021396,173.0902274
215021397,1139.1511008
215021398,121.311964280405
215021399,188.1949512
208031185,354.2897507
208031186,392.28200430984
215031403,154.4421337
208031188,688.780944755495
208031190,394.598933585188
215031404,347.787025410272
215031405,218.375573289728
208031189,336.987598247277
216011406,458.023228026573
216011407,407.222148133226
216011408,120.258935073427
208031191,272.299306959317
208031192,0
209011196,334.23890560573
209011197,559.157641393647
208031193,522.376817652337
209031210,92.8750011991677
209031211,116.9848831
209031212,132.882694023425
209031213,229.120762642168
209031214,174.795515077408
208041194,529.22816430539
303021057,216.582942090742
208041195,550.20425599461
209011198,430.285169927106
209041217,390.9048892
209011199,532.5711857
209011200,320.0812562
209041218,1080.2257682
209011201,241.84567
209011202,432.071332806353
209011203,572.354498472894
209041225,256.523593489405
209011204,315.55299789427
209021205,262.6324991
210011226,457.100652713095
405041124,310.371231400988
209021206,1572.4254341
209021207,1479.8309626
209021208,1516.0640673
209031209,563.3849952
209031215,344.205769857832
210011227,0
405041125,259.377299299012
209041216,227.4831562
210011230,208.8960131
405041127,473.317364994357
405041128,266.946158605643
406011129,null
406011130,null
406011131,210.0617375
406011132,null
406011133,709.4656351
406011134,null
209041219,1863.9371257057
407011145,294.9925742
209041220,793.9557131
407011149,360.840894128034
407021150,241.4870029
407021151,168.320695254876
209041221,554.7397908
209041222,926.9499602
504011046,498.622545603072
209041223,1906.8002699943
209041224,416.145961710595
210011228,484.543486
210011229,1592.6916102869
210011231,280.7343909
210021232,300.761582339979
504021053,517.074332171713
210021233,86.4244936885576
210021234,101.873924071463
210021235,240.4784087
210031236,360.593979
210031237,967.4084937
210031238,1551.417104
210031239,970.9481212
210041240,332.355481525155
210041241,636.859063474845
701011001,17.2808808235268
210051242,879.3867303
210051247,1098.0485622
210051243,1580.0643729
210051244,1048.0219442
210051245,935.558624618378
210051246,564.539133754085
210051250,342.693664181622
211011251,337.585481404662
210051249,752.1423372
211011252,752.486117995338
211011253,850.0824098
211011254,397.5300389
211011255,202.718607116774
211011257,250.071197786799
211011256,471.514195331916
211011258,335.151113964511
211011259,542.01330976109
211011260,688.07776673891
211021261,473.234256944564
211021262,305.515321955436
701021010,100.397654057122
211031263,309.293487376935
211031264,884.1590846
211031266,503.1237656
211031267,512.156164223065
211041269,371.7374915
211041270,501.22149679948
211051275,258.972295674748
211051276,396.6688664
211041271,342.4180529
211041272,335.072593931167
211041273,386.338497769353
211051274,264.47490402739
212021293,657.385819559752
212021294,451.8442022
211051277,257.9988803
211051278,508.431212737174
211051279,147.943503313395
211051280,191.057698025469
211051281,587.193073699784
211051283,250.310475286605
212031302,329.3387631
211051284,256.985302711034
211051285,209.415546762826
211051286,479.4774637
212011287,207.824593078491
212011288,236.6902812
212011289,449.371279921509
212011290,295.7587263
212011291,288.171716730109
212011292,486.392299869891
212021295,722.1662939
212031303,175.501534113467
212031304,259.714414050866
212021296,1221.5702609
212021297,471.8997267
701021011,104.005419387062
212021298,1024.3651511
212021299,206.365554340248
212031300,553.110912449134
212031301,214.542524578851
212031307,880.771353
212031308,195.387875307682
212041309,713.533142612556
212041310,711.269317687444
212041312,1249.57643164205
212041311,1798.8064463
212041314,1027.7447346
212041317,1651.49043570454
212041315,1638.3299102
212041316,421.468271557952
212041318,1017.79258819546
212051319,669.001026592797
212051320,703.6946278
212051321,861.535039155753
212051322,744.266154032995
213011328,531.886169971911
212051323,554.723060938554
212051324,638.214162561446
507011153,318.215442494826
212051325,710.487115667005
701021012,109.021896995752
212051326,832.916980807203
213011329,356.9287512
212051327,794.310112344247
213011330,1064.0703195
213011331,396.2782467
213011334,1719.54579896476
213011332,749.8347465
213011333,1232.08466133524
701021013,144.427915514507
213011335,1474.42487346034
213011337,967.486146839665
213011336,656.446022931399
213011338,1243.89019529669
213021343,899.9955114
213021345,186.7681954
213021344,625.17131953711
213021346,570.652139662889
213031347,902.6449948
213031351,443.45038558392
213031348,572.32409001608
213031352,560.326687575798
213041353,509.3513089
213031349,380.5992895
213031350,340.712212224202
213041354,850.9677167
213041355,406.314884373403
213041356,778.671716205669
213041357,695.178189435523
213041358,430.1080792
213041359,116.970119958809
213041360,404.249718326597
213051361,511.779880304455
213051362,793.720587154827
213051363,246.5959081
213051364,723.8594381
213051365,563.5656363
213051366,301.140579795545
213051367,1207.6111197
213051368,446.606369045173
213051369,442.653524
214011370,640.297646091816
214011371,676.8983771
214011373,577.9473512
214011374,546.190185437164
214011375,536.862888808184
214011376,256.125275862836
214021377,385.197442
214021378,167.873210878005
214021379,639.4302699
214021380,697.619234340976
214021381,532.3066341
214021382,537.968783621995
214021383,685.7210194
214021384,928.0161924
216031415,302.867620647549
214021385,542.979941059024
216031416,531.982275994494
216031417,831.665028952451
216031418,111.3766623
216031419,302.296335105506
217011420,303.718924129899
215011386,297.352379259881
215011387,108.5872551
217011421,338.561157684177
217011422,368.514128870101
217011423,212.672967915823
301031019,260.852126599922
215011388,517.7876124
215011389,103.7158388
215011390,277.377763238092
215011391,132.033882123072
216011409,144.098075703998
216011410,155.439303562776
216021411,260.487101238301
216021412,105.347381895767
216021413,511.545937761699
216021414,290.518356404233
303031061,220.957859415832
217021424,131.401132639806
217021425,418.9493592
217021426,172.770128860228
217021427,204.806618060194
217021428,213.885460103624
217021429,191.958765451673
217021430,254.475607644703
217021431,106.157609739772
217021432,602.20753317719
217021433,395.61663652281
311061335,218.685043290606
301011001,601.135262927201
301011002,265.450404244487
302041042,375.222042223162
301011003,511.708184179939
303051072,348.220270997288
301011004,608.582001372799
301011005,126.571433175573
301011006,375.8116004
301021007,648.967815188622
301021008,254.022229311378
301021009,448.779784681768
301021010,858.0299523
301021011,213.899150218232
301021012,419.3086502
301021013,580.1646101
301031014,0.217747567860847
301031015,238.521071804491
301031016,358.132619795587
301031018,390.425429672625
301031017,180.970119527375
301031020,454.620630432139
302041046,326.2580719
301031021,504.5804218
302011022,266.258229159704
302011024,297.763089440296
302011023,289.505632034082
302011025,315.586537473319
302011026,268.693979292599
302021027,522.799516812673
308021201,130.867435144581
302021028,305.7462337
302021029,257.094548277527
308021202,0
302021030,180.5668131098
302021031,453.960787946246
302021032,224.365002264969
302021033,251.774598635031
302031037,10.0690816491755
302021034,339.660589553754
302031038,248.331653231409
302031039,340.436431107588
302031035,341.295034969146
302031036,3.51247034273564
302031040,405.378104999945
302041041,558.8818293
302041043,166.066713533716
302041045,427.577378066284
302041044,272.256650476837
303011047,294.5310022
303011048,172.162126663181
303011049,393.398861303776
303011050,233.419458333043
